127.0.0.1 - - [01/Jan/2023:23:53:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:29 +0900] "GET /MapApp01/index HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/index.html HTTP/1.1" 200 232018
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/css/main.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/logo.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/js/bootstrap.bundle.min.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/recommended/offers01.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/recommended/offers02.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/recommended/offers03.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination01.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/recommended/offers04.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination02.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination03.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination04.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination05.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination07.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination06.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination08.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination09.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination12.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination11.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/icons/1.png HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/icons/2.png HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/destinations/destination10.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/icons/5.png HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/icons/4.png HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/icons/3.png HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/customer/avatar03.png HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/customer/avatar02.png HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/customer/avatar01.png HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/news/post01.png HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/news/post02.png HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/icons/subscribe-icon.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/news/post03.png HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/icons/play-icon.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/icons/apple.png HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [01/Jan/2023:23:53:55 +0900] "GET /MapApp01/assets/images/favicon.png HTTP/1.1" 404 853
